2022-05-12 16:15:59.889 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 海军航空兵某旅：“任务套餐”紧跟演训进程
2022-05-12 16:15:59.993 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：第71集团军某旅营造科学选人用人育人环境 共检索到 0条 有效request
2022-05-12 16:16:00.004 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：伊拉克底格里斯河水位下降 共检索到 95条 有效request
2022-05-12 16:16:00.030 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 第71集团军某旅营造科学选人用人育人环境
2022-05-12 16:16:00.035 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 16:16:00.175 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 8条 有效request
2022-05-12 16:16:00.186 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 河南舞阳：网格员成群众身边“贴心人”
2022-05-12 16:16:00.464 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：第71集团军某旅营造科学选人用人育人环境 共检索到 0条 有效request
2022-05-12 16:16:00.488 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 第71集团军某旅营造科学选人用人育人环境
2022-05-12 16:16:00.947 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：德国4月通胀率再创新高 共检索到 104条 有效request
2022-05-12 16:16:00.961 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 德国4月通胀率再创新高
2022-05-12 16:16:01.033 | INFO     | monitor.projectManager:save_config:617 - 保存配置成功
2022-05-12 16:16:01.085 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：第78集团军某旅：“伴随保障”强化战场意识 共检索到 0条 有效request
2022-05-12 16:16:01.124 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 第78集团军某旅：“伴随保障”强化战场意识
2022-05-12 16:16:01.387 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：某公司擅自使用袁隆平院士姓名及肖像直播卖米 共检索到 6条 有效request
2022-05-12 16:16:01.460 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 某公司擅自使用袁隆平院士姓名及肖像直播卖米
2022-05-12 16:16:01.488 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：埃及安全部队打死14名恐怖分子 共检索到 1条 有效request
2022-05-12 16:16:01.517 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 埃及安全部队打死14名恐怖分子
2022-05-12 16:16:01.729 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：第71集团军某旅营造科学选人用人育人环境 共检索到 0条 有效request
2022-05-12 16:16:01.755 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨 共检索到 104条 有效request
