2022-05-05 15:48:04.945 | INFO     | monitor.projectManager:check_project_in_device:296 - {'180.201.163.246': ['None', 'default']}
2022-05-05 15:48:10.963 | INFO     | monitor.spiderManager:del_spider:365 - 分布式设备180.201.163.246中爬虫百度删除成功
2022-05-05 15:48:15.060 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 15:48:15.401 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['教育部要求9月起中小学生要学煮饭', '67岁偏瘫奶奶捡废品救病孙', '韩国正式加入北约网络防御中心', '致敬每一位勇敢的攀登者', '狗走失被送派出所向民警展示绝活', '延时镜头记录蜻蜓羽化过程', '赵继伟', '奥密克戎新变种或能逃避免疫保护', '美国疫情或将再次迎来高峰', '俄宣布永久禁止日首相等63人入境俄罗斯', '孔素英实名举报前夫山东蓝翔校长', '2022五一档总票房2.95亿', '7天4季 换季挑战', 'lululemon致歉', '江疏影彭昱畅新剧演情侣', '宋威龙涉合同纠纷起诉于正公司', '街道办回应女子被天降物块砸中后身亡', '北京一核酸采样人员确诊', '给那些暂时没有爱情的人', '上海1800多家重点企业复工率超70%', '基金', '男孩无聊7楼扔鸡蛋砸肿6岁娃胳膊', '高中生为小区制作古诗词两米线', 'lululemon因以次充好被罚', '男团主舞的Dance实力', '全球首批生命全景地图发布', '不想上班', '渡边裕之自缢身亡', '立夏要称体重', '黄大宪确定弃权', '阿尔茨海默症老人找去世儿子迷路', '江苏睢宁通报一名婴儿在医院死亡事件', '上海交大安保员考上本校研究生', '马思唯 歌词', '#我们正青春#', '徐明浩直播', '已经开始期待端午了', '黄大宪这一天白忙了', '蓝翔', '后浪', '原神', '跨越百年的青年对话', '土坑酸菜厂家锦瑞食品被停产', '消防员抓眼镜蛇抓了个寂寞', '北京临管区三胎孕妇5小时办好就医出入证', '魅族', '米哈游', '女朋友是台湾人是什么体验', '管控区居民突发状况民航总医院医生紧急处理', '第一次见女追男这么难', '美国新冠累计死亡超100万例', '电视剧后浪首发人物照', '主人叫专车接狗疑被放后备箱憋闷致死']
2022-05-05 15:48:16.689 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：且试天下 鹤唳华亭 共检索到 73条 有效request
2022-05-05 15:48:16.690 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:25.069 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 15:48:25.276 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['教育部要求9月起中小学生要学煮饭', '67岁偏瘫奶奶捡废品救病孙', '韩国正式加入北约网络防御中心', '致敬每一位勇敢的攀登者', '狗走失被送派出所向民警展示绝活', '延时镜头记录蜻蜓羽化过程', '赵继伟', '奥密克戎新变种或能逃避免疫保护', '美国疫情或将再次迎来高峰', '俄宣布永久禁止日首相等63人入境俄罗斯', '孔素英实名举报前夫山东蓝翔校长', '2022五一档总票房2.95亿', 'lululemon致歉', '江疏影彭昱畅新剧演情侣', '宋威龙涉合同纠纷起诉于正公司', '每天1万请你养牛', '街道办回应女子被天降物块砸中后身亡', '北京一核酸采样人员确诊', '假如中了超级大乐透3600万', '给那些暂时没有爱情的人', '上海1800多家重点企业复工率超70%', '基金', '男孩无聊7楼扔鸡蛋砸肿6岁娃胳膊', '高中生为小区制作古诗词两米线', 'lululemon因以次充好被罚', '男团主舞的Dance实力', '全球首批生命全景地图发布', '不想上班', '渡边裕之自缢身亡', '立夏要称体重', '黄大宪确定弃权', '阿尔茨海默症老人找去世儿子迷路', '江苏睢宁通报一名婴儿在医院死亡事件', '上海交大安保员考上本校研究生', '马思唯 歌词', '已经开始期待端午了', '徐明浩直播', '黄大宪这一天白忙了', '蓝翔', '后浪', '原神', '土坑酸菜厂家锦瑞食品被停产', '消防员抓眼镜蛇抓了个寂寞', '北京临管区三胎孕妇5小时办好就医出入证', '魅族', '米哈游', '女朋友是台湾人是什么体验', '管控区居民突发状况民航总医院医生紧急处理', '第一次见女追男这么难', '美国新冠累计死亡超100万例', '#我们的青年英雄#', '电视剧后浪首发人物照', '主人叫专车接狗疑被放后备箱憋闷致死']
2022-05-05 15:48:26.519 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：且试天下 鹤唳华亭 共检索到 73条 有效request
2022-05-05 15:48:26.520 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:35.066 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 15:48:35.105 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：且试天下 鹤唳华亭 共检索到 100条 有效request
2022-05-05 15:48:35.106 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:35.272 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['教育部要求9月起中小学生要学煮饭', '67岁偏瘫奶奶捡废品救病孙', '韩国正式加入北约网络防御中心', '致敬每一位勇敢的攀登者', '狗走失被送派出所向民警展示绝活', '延时镜头记录蜻蜓羽化过程', '赵继伟', '奥密克戎新变种或能逃避免疫保护', '美国疫情或将再次迎来高峰', '俄宣布永久禁止日首相等63人入境俄罗斯', '立夏原神饿饿饿了么', '孔素英实名举报前夫山东蓝翔校长', '2022五一档总票房2.95亿', 'lululemon致歉', '江疏影彭昱畅新剧演情侣', '宋威龙涉合同纠纷起诉于正公司', '街道办回应女子被天降物块砸中后身亡', '北京一核酸采样人员确诊', '给那些暂时没有爱情的人', '上海1800多家重点企业复工率超70%', '基金', '男孩无聊7楼扔鸡蛋砸肿6岁娃胳膊', '高中生为小区制作古诗词两米线', '刘雯新身份', 'lululemon因以次充好被罚', '男团主舞的Dance实力', '全球首批生命全景地图发布', '不想上班', '渡边裕之自缢身亡', '立夏要称体重', '黄大宪确定弃权', '阿尔茨海默症老人找去世儿子迷路', '江苏睢宁通报一名婴儿在医院死亡事件', '上海交大安保员考上本校研究生', '马思唯 歌词', '已经开始期待端午了', '徐明浩直播', '终于找到了父母催婚的理由', '黄大宪这一天白忙了', '蓝翔', '后浪', '原神', '土坑酸菜厂家锦瑞食品被停产', '消防员抓眼镜蛇抓了个寂寞', '北京临管区三胎孕妇5小时办好就医出入证', '魅族', '米哈游', '女朋友是台湾人是什么体验', '管控区居民突发状况民航总医院医生紧急处理', '第一次见女追男这么难', '#我们的青年英雄#', '电视剧后浪首发人物照', '主人叫专车接狗疑被放后备箱憋闷致死']
2022-05-05 15:48:35.736 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：且试天下 鹤唳华亭 共检索到 100条 有效request
2022-05-05 15:48:35.737 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:36.274 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：且试天下 鹤唳华亭 共检索到 73条 有效request
2022-05-05 15:48:36.275 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:37.051 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 求是  关键词：且试天下 鹤唳华亭 共检索到 44条 有效request
2022-05-05 15:48:37.052 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:37.320 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 求是  关键词：且试天下 鹤唳华亭 共检索到 44条 有效request
2022-05-05 15:48:37.321 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:43.001 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 头条  关键词：且试天下 鹤唳华亭 共检索到 57条 有效request
2022-05-05 15:48:43.002 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:43.437 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：上海累计报告6岁以下儿童阳性感染者12707例 共检索到 20条 有效request
2022-05-05 15:48:43.438 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 上海累计报告6岁以下儿童阳性感染者12707例
2022-05-05 15:48:43.908 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 头条  关键词：且试天下 鹤唳华亭 共检索到 67条 有效request
2022-05-05 15:48:43.909 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:44.361 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：上海累计报告6岁以下儿童阳性感染者12707例 共检索到 20条 有效request
2022-05-05 15:48:44.361 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 上海累计报告6岁以下儿童阳性感染者12707例
2022-05-05 15:48:44.610 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：且试天下 鹤唳华亭 共检索到 100条 有效request
2022-05-05 15:48:44.611 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:45.059 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 15:48:45.286 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['教育部要求9月起中小学生要学煮饭', '67岁偏瘫奶奶捡废品救病孙', '韩国正式加入北约网络防御中心', '致敬每一位勇敢的攀登者', '狗走失被送派出所向民警展示绝活', '延时镜头记录蜻蜓羽化过程', '赵继伟', '奥密克戎新变种或能逃避免疫保护', '美国疫情或将再次迎来高峰', '俄宣布永久禁止日首相等63人入境俄罗斯', '孔素英实名举报前夫山东蓝翔校长', '2022五一档总票房2.95亿', 'lululemon致歉', '江疏影彭昱畅新剧演情侣', '宋威龙涉合同纠纷起诉于正公司', '街道办回应女子被天降物块砸中后身亡', '北京一核酸采样人员确诊', '给那些暂时没有爱情的人', '上海1800多家重点企业复工率超70%', '基金', '男孩无聊7楼扔鸡蛋砸肿6岁娃胳膊', '高中生为小区制作古诗词两米线', 'lululemon因以次充好被罚', '男团主舞的Dance实力', '全球首批生命全景地图发布', '不想上班', '渡边裕之自缢身亡', '立夏要称体重', '黄大宪确定弃权', '阿尔茨海默症老人找去世儿子迷路', '江苏睢宁通报一名婴儿在医院死亡事件', '上海交大安保员考上本校研究生', '马思唯 歌词', '已经开始期待端午了', '徐明浩直播', '终于找到了父母催婚的理由', '黄大宪这一天白忙了', '蓝翔', '后浪', '原神', '土坑酸菜厂家锦瑞食品被停产', '消防员抓眼镜蛇抓了个寂寞', '北京临管区三胎孕妇5小时办好就医出入证', '魅族', '米哈游', '女朋友是台湾人是什么体验', '管控区居民突发状况民航总医院医生紧急处理', '第一次见女追男这么难', '#我们的青年英雄#', '电视剧后浪首发人物照', '黄健翔连麦葱桶组合', '主人叫专车接狗疑被放后备箱憋闷致死']
2022-05-05 15:48:46.118 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 求是  关键词：且试天下 鹤唳华亭 共检索到 44条 有效request
2022-05-05 15:48:46.119 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:46.321 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：且试天下 鹤唳华亭 共检索到 73条 有效request
2022-05-05 15:48:46.322 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:49.443 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 头条  关键词：且试天下 鹤唳华亭 共检索到 0条 有效request
2022-05-05 15:48:49.444 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:49.829 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 凤凰网  关键词：上海累计报告6岁以下儿童阳性感染者12707例 共检索到 20条 有效request
2022-05-05 15:48:49.830 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 上海累计报告6岁以下儿童阳性感染者12707例
2022-05-05 15:48:54.796 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：且试天下 鹤唳华亭 共检索到 100条 有效request
2022-05-05 15:48:54.797 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 且试天下 鹤唳华亭
2022-05-05 15:48:55.061 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
