2022-04-15 11:22:48.977 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.112 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.116 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.254 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.258 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.393 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.397 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.536 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.539 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.674 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.677 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.814 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.818 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:49.952 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:49.956 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:50.091 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:50.095 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:50.232 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:50.235 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:50.364 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:59.608 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:09.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:19.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:29.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:39.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:49.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:23:59.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:24:09.606 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
