2022-05-06 17:09:42.395 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 乌有之乡  关键词：俄国防部：俄军从亚速钢铁厂解救出80名平民 共检索到 49条 有效request
2022-05-06 17:09:42.410 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 俄国防部：俄军从亚速钢铁厂解救出80名平民
2022-05-06 17:09:43.058 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 求是  关键词：福建扶持农村困难残疾人就业创业 共检索到 299条 有效request
2022-05-06 17:09:43.064 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 福建扶持农村困难残疾人就业创业
2022-05-06 17:09:43.410 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 头条  关键词：湖南长沙居民自建房倒塌事故造成53人遇难 共检索到 0条 有效request
2022-05-06 17:09:43.418 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 湖南长沙居民自建房倒塌事故造成53人遇难
2022-05-06 17:09:43.478 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 乌有之乡  关键词：钻漏洞非法牟利、虚增中间商赚差价……最高检典型案例揭示职务侵占犯罪这些特点 共检索到 49条 有效request
2022-05-06 17:09:43.486 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 钻漏洞非法牟利、虚增中间商赚差价……最高检典型案例揭示职务侵占犯罪这些特点
2022-05-06 17:09:43.600 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：湖南长沙居民自建房倒塌事故造成53人遇难 共检索到 0条 有效request
2022-05-06 17:09:43.606 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 湖南长沙居民自建房倒塌事故造成53人遇难
