2022-05-12 15:15:36.181 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:36.906 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 20条 有效request
2022-05-12 15:15:36.915 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:37.100 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 0条 有效request
2022-05-12 15:15:37.107 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:37.225 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：巴西举办贫民社区商业博览会 共检索到 31条 有效request
2022-05-12 15:15:37.229 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 巴西举办贫民社区商业博览会
2022-05-12 15:15:37.436 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 0条 有效request
2022-05-12 15:15:37.444 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:37.582 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：厦门五名被告人非法占用农用地被判刑 共检索到 31条 有效request
2022-05-12 15:15:37.587 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 厦门五名被告人非法占用农用地被判刑
2022-05-12 15:15:37.671 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：伊拉克底格里斯河水位下降 共检索到 95条 有效request
2022-05-12 15:15:37.676 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 15:15:37.700 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：伊拉克底格里斯河水位下降 共检索到 0条 有效request
2022-05-12 15:15:37.717 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 伊拉克底格里斯河水位下降
