2022-04-23 09:56:21.867 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['18个关于春天的神仙文案', '上海新增本土确诊2736例无症状20634例', '保护我方郭艾伦', '肖飞 卧底', '英国批准5月底前用卢布结算俄天然气', '上海22日新增本土死亡12例', '男子卖女友金器为游戏充值', '50斤巨蟒在工业园蒸汽管下安家', '重庆一中院通报卖150碗熟肉被罚案', '拱墅区启动二级响应', '杭州女孩跟刘畊宏跳操脚受伤', 'EDG银龙骑士团原画细节', '清华大学的食堂有多实惠', '秦皇岛疫情', '卖熟肉被罚当事人回应网友捐款', '巨好喝酸奶合集', '中核集团推出核动力宠物狗', '郭麒麟MIC男团京剧版国色天香', '今天是世界读书日', '4月22日新增本土确诊2971例', '4月22日新增确诊病例2988例', '孕妇宫外孕出血民警紧急送医', '环球影城通报一游客突发状况身亡', '烟台疫情', '张碧晨舞台落泪让人心疼', '长期保持阅读有多重要', '赵立坚说中方在乌克兰问题上的立场光明磊落', '博鳌声音道出了中国主张中国方案', '发条微博祝人民海军生日快乐', '我们为什么要读书', '唐山新增本土无症状140例', '每天正确饮水量牢记53535法', '终于知道家里的小飞虫是什么了', '上海将严防大礼包腐败', '夫妻2人一狗一车戍守边疆', '边吃饭边喝水会影响消化吗', '辛巴售卖假货瑜伽裤一晚销售额超600万', '吉林新增本土无症状205例', '日本电视台买入斛珠夫人版权', '#读书之美#', '杭州地铁', '北京通报3个旅行团涉疫', '读过的每一本书都不会辜负你', '羡慕按时发工资遭开除女子发声', '蒲熠星上非正也不忘cue文韬', 'YPL回应辛巴旗下主播卖假货', '北京新增病例初判未来传播风险较高', '陕西拐卖婴儿嫌犯落网主犯不满19岁', '北京22日新增本土确诊6例', '祝卿好 破防', '刘惜君一开口港风就来了']
2022-04-23 09:56:22.577 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：18个关于春天的神仙文案 共检索到 8条 有效request
2022-04-23 09:56:22.578 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 18个关于春天的神仙文案
2022-04-23 09:58:01.243 | INFO     | monitor.projectManager:check_project_in_device:269 - {'180.201.163.246': ['default']}
2022-04-23 09:59:21.499 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['陕西拐卖婴儿嫌犯落网主犯不满19岁', '巨好喝酸奶合集', '吉林新增本土无症状205例', 'YPL回应辛巴旗下主播卖假货', '秦皇岛疫情', '羡慕按时发工资遭开除女子发声', '#读书是我终身的爱好#', '拱墅区启动二级响应', '张碧晨舞台落泪让人心疼', '保护我方郭艾伦', '环球影城通报一游客突发状况身亡', '清华大学的食堂有多实惠', '发条微博祝人民海军生日快乐', '郭麒麟MIC男团京剧版国色天香', '杭州地铁', '卖熟肉被罚当事人回应网友捐款', '肖飞 卧底', '刘惜君一开口港风就来了', '北京22日新增本土确诊6例', '唐山新增本土无症状140例', '英国批准5月底前用卢布结算俄天然气', '边吃饭边喝水会影响消化吗', '男子卖女友金器为游戏充值', '读过的每一本书都不会辜负你', '4月22日新增本土确诊2971例', '中核集团推出核动力宠物狗', '今天是世界读书日', '夫妻2人一狗一车戍守边疆', '赵立坚说中方在乌克兰问题上的立场光明磊落', 'EDG银龙骑士团原画细节', '18个关于春天的神仙文案', '北京新增病例初判未来传播风险较高', '杭州女孩跟刘畊宏跳操脚受伤', '上海22日新增本土死亡12例', '辛巴售卖假货瑜伽裤一晚销售额超600万', '终于知道家里的小飞虫是什么了', '快手原副总裁一审获刑七年', '每天正确饮水量牢记53535法', '烟台疫情', '长期保持阅读有多重要', '重庆一中院通报卖150碗熟肉被罚案', '祝卿好 破防', '4月22日新增确诊病例2988例', '蒲熠星上非正也不忘cue文韬', '我们为什么要读书', '上海新增本土确诊2736例无症状20634例', '日本电视台买入斛珠夫人版权', '上海将严防大礼包腐败', '博鳌声音道出了中国主张中国方案', '孕妇宫外孕出血民警紧急送医', '北京通报3个旅行团涉疫']
2022-04-23 09:59:27.014 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：YPL回应辛巴旗下主播卖假货 共检索到 8条 有效request
2022-04-23 09:59:27.015 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 YPL回应辛巴旗下主播卖假货
2022-04-23 10:00:02.703 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：华晨宇有机直播间 共检索到 8条 有效request
2022-04-23 10:00:02.704 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 华晨宇有机直播间
2022-04-23 10:00:18.660 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：羡慕按时发工资遭开除女子发声 共检索到 8条 有效request
