2022-05-12 09:04:22.515 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 马拉喀什条约对我国生效
2022-05-12 09:04:24.124 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：北京4地升级为高风险地区 共检索到 797条 有效request
2022-05-12 09:04:24.132 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 北京4地升级为高风险地区
2022-05-12 09:04:24.923 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：防范电诈五大“利器”，你用了几项？ 共检索到 7条 有效request
2022-05-12 09:04:24.932 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 防范电诈五大“利器”，你用了几项？
2022-05-12 09:04:27.006 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：防范化解风险 保障企业发展（法治头条·以高质量法治服务经济社会高质量发展③） 共检索到 49条 有效request
2022-05-12 09:04:27.012 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 防范化解风险 保障企业发展（法治头条·以高质量法治服务经济社会高质量发展③）
2022-05-12 09:04:27.288 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：北京检察机关依法对何兴祥涉嫌受贿、违规出具金融票证、违法发放贷款、隐瞒境外存款案提起公诉 共检索到 335条 有效request
2022-05-12 09:04:27.295 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 北京检察机关依法对何兴祥涉嫌受贿、违规出具金融票证、违法发放贷款、隐瞒境外存款案提起公诉
2022-05-12 09:04:27.468 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：宜昌中院：协同推进多元化纠纷解决机制 共检索到 970条 有效request
2022-05-12 09:04:27.482 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 宜昌中院：协同推进多元化纠纷解决机制
